Año;Tipo territorio;Código territorio;Territorio;Valor;Estado dato
2016;Municipios;0611;Galapagar;-0.54;
2016;Municipios;0626;Garganta de los Montes;-0.98;
2016;Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;-1.80;
2016;Municipios;0647;Gascones;1.34;
2016;Municipios;0650;Getafe;-0.87;
2016;Municipios;0663;Griñón;-0.72;
2016;Municipios;0679;Guadalix de la Sierra;-0.19;
2016;Municipios;0685;Guadarrama;-0.71;
2016;Municipios;0698;Hiruela (La);0.00;
2016;Municipios;0702;Horcajo de la Sierra-Aoslos;1.33;
2016;Municipios;0719;Horcajuelo de la Sierra;-4.49;
2016;Municipios;0724;Hoyo de Manzanares;-0.33;
2016;Municipios;0730;Humanes de Madrid;-1.40;
2016;Municipios;0745;Leganés;-0.92;
2016;Municipios;0758;Loeches;-0.40;
2016;Municipios;0761;Lozoya;-1.33;
2016;Municipios;9015;Lozoyuela-Navas-Sieteiglesias;-1.54;
2016;Municipios;0783;Madarcos;-0.19;
2016;Municipios;0796;Madrid;-0.67;
2016;Municipios;0800;Majadahonda;-0.56;
2016;Municipios;0822;Manzanares el Real;-0.53;
2016;Municipios;0838;Meco;-1.21;
2016;Municipios;0843;Mejorada del Campo;-0.96;
2016;Municipios;0856;Miraflores de la Sierra;-0.79;
2016;Municipios;0869;Molar (El);-1.10;
2016;Municipios;0875;Molinos (Los);-0.71;
2016;Municipios;0881;Montejo de la Sierra;0.19;
2016;Municipios;0894;Moraleja de Enmedio;-0.96;
2016;Municipios;0908;Moralzarzal;-0.35;
2016;Municipios;0915;Morata de Tajuña;-1.31;
2016;Municipios;0920;Móstoles;-0.96;
2016;Municipios;0936;Navacerrada;-0.65;
2016;Municipios;0941;Navalafuente;1.05;
2016;Municipios;0954;Navalagamella;-1.08;
2016;Municipios;0967;Navalcarnero;-1.01;
2016;Municipios;0973;Navarredonda y San Mamés;-2.81;
2016;Municipios;0992;Navas del Rey;-1.82;
2016;Municipios;1006;Nuevo Baztán;-1.34;
2016;Municipios;1013;Olmeda de las Fuentes;0.20;
2016;Municipios;1028;Orusco de Tajuña;-0.93;
2016;Municipios;1049;Paracuellos de Jarama;-0.84;
2016;Municipios;1065;Parla;-1.00;
2016;Municipios;1071;Patones;1.94;
2016;Municipios;1087;Pedrezuela;-0.20;
2016;Municipios;1090;Pelayos de la Presa;-0.28;
2016;Municipios;1104;Perales de Tajuña;-0.31;
2016;Municipios;1111;Pezuela de las Torres;-1.74;
2016;Municipios;1126;Pinilla del Valle;-1.79;
2016;Municipios;1132;Pinto;-0.99;
2016;Municipios;1147;Piñuécar-Gandullas;-0.91;
2016;Municipios;1150;Pozuelo de Alarcón;-0.58;
2016;Municipios;1163;Pozuelo del Rey;0.08;
2016;Municipios;1179;Prádena del Rincón;2.62;
2016;Municipios;1185;Puebla de la Sierra;-4.90;
2016;Municipios;9020;Puentes Viejas;-0.58;
2016;Municipios;1198;Quijorna;-0.90;
2016;Municipios;1202;Rascafría;-1.37;
2016;Municipios;1219;Redueña;-2.36;
2016;Municipios;1224;Ribatejada;-1.01;
2016;Municipios;1230;Rivas-Vaciamadrid;-0.54;
2016;Municipios;1245;Robledillo de la Jara;-3.93;
2016;Municipios;1258;Robledo de Chavela;0.11;
2016;Municipios;1261;Robregordo;-1.94;
2016;Municipios;1277;Rozas de Madrid (Las);-0.53;
2016;Municipios;1283;Rozas de Puerto Real;1.12;
2016;Municipios;1296;San Agustín del Guadalix;-0.96;
2016;Municipios;1300;San Fernando de Henares;-0.79;
2016;Municipios;1317;San Lorenzo de El Escorial;-0.25;
2016;Municipios;1322;San Martín de la Vega;-1.22;
2016;Municipios;1338;San Martín de Valdeiglesias;-0.57;
2016;Municipios;1343;San Sebastián de los Reyes;-0.76;
2016;Municipios;1356;Santa María de la Alameda;-0.24;
2016;Municipios;1369;Santorcaz;-1.79;
2016;Municipios;1375;Santos de la Humosa (Los);-0.53;
2016;Municipios;1381;Serna del Monte (La);-1.37;
2016;Municipios;1408;Serranillos del Valle;-1.29;
2016;Municipios;1415;Sevilla la Nueva;-1.04;
2016;Municipios;1436;Somosierra;-3.17;
2016;Municipios;1441;Soto del Real;-0.36;
2016;Municipios;1454;Talamanca de Jarama;-1.11;
2016;Municipios;1467;Tielmes;-0.11;
2016;Municipios;1473;Titulcia;-0.76;
2016;Municipios;1489;Torrejón de Ardoz;-1.00;
2016;Municipios;1492;Torrejón de la Calzada;-1.12;
2016;Municipios;1505;Torrejón de Velasco;-0.77;
2016;Municipios;1512;Torrelaguna;-0.75;
2016;Municipios;1527;Torrelodones;-0.50;
2016;Municipios;1533;Torremocha de Jarama;0.07;
2016;Municipios;1548;Torres de la Alameda;-1.00;
2016;Municipios;9036;Tres Cantos;-0.39;
2016;Municipios;1551;Valdaracete;-2.23;
2016;Municipios;1564;Valdeavero;0.47;
2016;Municipios;1570;Valdelaguna;0.91;
2016;Municipios;1586;Valdemanco;0.52;
2016;Municipios;1599;Valdemaqueda;-0.77;
2016;Municipios;1603;Valdemorillo;0.22;
2016;Municipios;1610;Valdemoro;-0.90;
2016;Municipios;1625;Valdeolmos-Alalpardo;-0.97;
2016;Municipios;1631;Valdepiélagos;-0.98;
2016;Municipios;1646;Valdetorres de Jarama;-1.73;
2016;Municipios;1659;Valdilecha;-0.98;
2016;Municipios;1662;Valverde de Alcalá;-0.01;
2016;Municipios;1678;Velilla de San Antonio;-0.73;
2016;Municipios;1684;Vellón (El);-0.02;
2016;Municipios;1697;Venturada;0.29;
2016;Municipios;1718;Villa del Prado;-1.02;
2016;Municipios;1701;Villaconejos;-1.30;
2016;Municipios;1723;Villalbilla;-0.65;
2016;Municipios;1739;Villamanrique de Tajo;1.93;
2016;Municipios;1744;Villamanta;-0.62;
2016;Municipios;1757;Villamantilla;1.21;
2016;Municipios;1760;Villanueva de la Cañada;-0.51;
2016;Municipios;1782;Villanueva de Perales;0.37;
2016;Municipios;1776;Villanueva del Pardillo;-0.84;
2016;Municipios;1795;Villar del Olmo;-0.70;
2016;Municipios;1809;Villarejo de Salvanés;-0.67;
2016;Municipios;1816;Villaviciosa de Odón;-0.52;
2016;Municipios;1821;Villavieja del Lozoya;1.34;
2016;Municipios;1837;Zarzalejo;-0.37;
2016;Zonas Estadísticas;03;Este Metropolitano;-0.90;
2016;Zonas Estadísticas;01;Municipio de Madrid;-0.67;
2016;Zonas Estadísticas;07;Nordeste Comunidad;-1.03;
2016;Zonas Estadísticas;02;Norte Metropolitano;-0.67;
2016;Zonas Estadísticas;05;Oeste Metropolitano;-0.54;
2016;Zonas Estadísticas;11;Sierra Central;-0.47;
2016;Zonas Estadísticas;06;Sierra Norte;-0.36;
2016;Zonas Estadísticas;10;Sierra Sur;-0.49;
2016;Zonas Estadísticas;08;Sudeste Comunidad;-0.69;
2016;Zonas Estadísticas;09;Sudoeste Comunidad;-0.72;
2016;Zonas Estadísticas;04;Sur Metropolitano;-0.91;
2017;Comunidad de Madrid;;Comunidad de Madrid;0.79;
2017;Municipios;0014;Acebeda (La);4.55;
2017;Municipios;0029;Ajalvir;-1.08;
2017;Municipios;0035;Alameda del Valle;-1.22;
2017;Municipios;0040;Álamo (El);0.87;
2017;Municipios;0053;Alcalá de Henares;-1.08;
2017;Municipios;0066;Alcobendas;0.75;
2017;Municipios;0072;Alcorcón;0.99;
2017;Municipios;0088;Aldea del Fresno;0.82;
2017;Municipios;0091;Algete;0.77;
2017;Municipios;0105;Alpedrete;0.83;
2017;Municipios;0112;Ambite;-8.84;
2017;Municipios;0127;Anchuelo;-2.00;
2017;Municipios;0133;Aranjuez;0.94;
2017;Municipios;0148;Arganda del Rey;0.99;
2017;Municipios;0151;Arroyomolinos;0.82;
2017;Municipios;0164;Atazar (El);-1.20;
2017;Municipios;0170;Batres;0.00;
2017;Municipios;0186;Becerril de la Sierra;-1.16;
2017;Municipios;0199;Belmonte de Tajo;-2.71;
2017;Municipios;0210;Berrueco (El);-1.78;
2017;Municipios;0203;Berzosa del Lozoya;-4.19;
2017;Municipios;0225;Boadilla del Monte;0.31;
2017;Municipios;0231;Boalo (El);-1.02;
2017;Municipios;0246;Braojos;0.31;
2017;Municipios;0259;Brea de Tajo;2.59;
2017;Municipios;0262;Brunete;0.96;
2017;Municipios;0278;Buitrago del Lozoya;-1.11;
2017;Municipios;0284;Bustarviejo;-1.43;
2017;Municipios;0297;Cabanillas de la Sierra;-2.74;
2017;Municipios;0301;Cabrera (La);0.93;
2017;Municipios;0318;Cadalso de los Vidrios;-2.85;
2017;Municipios;0323;Camarma de Esteruelas;-1.02;
2017;Municipios;0339;Campo Real;0.77;
2017;Municipios;0344;Canencia;0.49;
2017;Municipios;0357;Carabaña;-3.76;
2017;Municipios;0360;Casarrubuelos;-2.29;
2017;Municipios;0376;Cenicientos;0.84;
2017;Municipios;0382;Cercedilla;0.71;
2017;Municipios;0395;Cervera de Buitrago;-2.52;
2017;Municipios;0513;Chapinería;-2.48;
2017;Municipios;0528;Chinchón;0.82;
2017;Municipios;0409;Ciempozuelos;0.80;
2017;Municipios;0416;Cobeña;0.48;
2017;Municipios;0468;Collado Mediano;0.90;
2017;Municipios;0474;Collado Villalba;0.74;
2017;Municipios;0437;Colmenar de Oreja;-2.15;
2017;Municipios;0421;Colmenar del Arroyo;0.31;
2017;Municipios;0455;Colmenar Viejo;0.84;
2017;Municipios;0442;Colmenarejo;0.36;
2017;Municipios;0480;Corpa;0.75;
2017;Municipios;0493;Coslada;0.71;
2017;Municipios;0506;Cubas de la Sagra;-1.55;
2017;Municipios;0534;Daganzo de Arriba;0.68;
2017;Municipios;0549;Escorial (El);0.55;
2017;Municipios;0552;Estremera;0.90;
2017;Municipios;0565;Fresnedillas de la Oliva;-2.28;
2017;Municipios;0571;Fresno de Torote;-1.76;
2017;Municipios;0587;Fuenlabrada;-1.23;
2017;Municipios;0590;Fuente el Saz de Jarama;0.63;
2017;Municipios;0604;Fuentidueña de Tajo;-2.31;
2017;Municipios;0611;Galapagar;0.00;
2017;Municipios;0626;Garganta de los Montes;0.67;
2017;Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;-1.38;
2017;Municipios;0647;Gascones;0.20;
2017;Municipios;0650;Getafe;0.97;
2017;Municipios;0663;Griñón;0.96;
2017;Municipios;0679;Guadalix de la Sierra;-1.51;
2017;Municipios;0685;Guadarrama;0.73;
2017;Municipios;0698;Hiruela (La);1.92;
2017;Municipios;0702;Horcajo de la Sierra-Aoslos;-2.06;
2017;Municipios;0719;Horcajuelo de la Sierra;0.05;
2017;Municipios;0724;Hoyo de Manzanares;0.93;
2017;Municipios;0730;Humanes de Madrid;-1.35;
2017;Municipios;0745;Leganés;-1.03;
2017;Municipios;0758;Loeches;-1.26;
2017;Municipios;0761;Lozoya;-1.24;
2017;Municipios;9015;Lozoyuela-Navas-Sieteiglesias;0.41;
2017;Municipios;0783;Madarcos;-2.08;
2017;Municipios;0796;Madrid;0.65;
2017;Municipios;0800;Majadahonda;0.56;
2017;Municipios;0822;Manzanares el Real;0.79;
2017;Municipios;0838;Meco;-1.38;
2017;Municipios;0843;Mejorada del Campo;0.86;
2017;Municipios;0856;Miraflores de la Sierra;0.74;
2017;Municipios;0869;Molar (El);0.98;
2017;Municipios;0875;Molinos (Los);-1.13;
2017;Municipios;0881;Montejo de la Sierra;0.52;
2017;Municipios;0894;Moraleja de Enmedio;0.34;
2017;Municipios;0908;Moralzarzal;0.79;
2017;Municipios;0915;Morata de Tajuña;-1.08;
2017;Municipios;0920;Móstoles;-1.06;
2017;Municipios;0936;Navacerrada;0.71;
2017;Municipios;0941;Navalafuente;-2.72;
2017;Municipios;0954;Navalagamella;-1.10;
2017;Municipios;0967;Navalcarnero;-1.22;
2017;Municipios;0973;Navarredonda y San Mamés;1.56;
2017;Municipios;0992;Navas del Rey;-1.86;
2017;Municipios;1006;Nuevo Baztán;0.73;
2017;Municipios;1013;Olmeda de las Fuentes;-2.51;
2017;Municipios;1028;Orusco de Tajuña;-1.01;
2017;Municipios;1049;Paracuellos de Jarama;0.31;
2017;Municipios;1065;Parla;-1.44;
2017;Municipios;1071;Patones;-1.99;
2017;Municipios;1087;Pedrezuela;0.58;
2017;Municipios;1090;Pelayos de la Presa;0.26;
2017;Municipios;1104;Perales de Tajuña;-1.77;
2017;Municipios;1111;Pezuela de las Torres;0.07;
2017;Municipios;1126;Pinilla del Valle;0.34;
2017;Municipios;1132;Pinto;-1.12;
2017;Municipios;1147;Piñuécar-Gandullas;-1.57;
2017;Municipios;1150;Pozuelo de Alarcón;0.15;
2017;Municipios;1163;Pozuelo del Rey;-1.64;
2017;Municipios;1179;Prádena del Rincón;-2.93;
2017;Municipios;1185;Puebla de la Sierra;0.50;
2017;Municipios;9020;Puentes Viejas;0.26;
2017;Municipios;1198;Quijorna;0.15;
2017;Municipios;1202;Rascafría;-1.89;
2017;Municipios;1219;Redueña;0.28;
2017;Municipios;1224;Ribatejada;-2.33;
2017;Municipios;1230;Rivas-Vaciamadrid;0.58;
2017;Municipios;1245;Robledillo de la Jara;-2.47;
2017;Municipios;1258;Robledo de Chavela;-1.50;
2017;Municipios;1261;Robregordo;-2.22;
2017;Municipios;1277;Rozas de Madrid (Las);0.42;
2017;Municipios;1283;Rozas de Puerto Real;-5.45;
2017;Municipios;1296;San Agustín del Guadalix;0.20;
2017;Municipios;1300;San Fernando de Henares;-1.16;
2017;Municipios;1317;San Lorenzo de El Escorial;0.33;
2017;Municipios;1322;San Martín de la Vega;0.84;
2017;Municipios;1338;San Martín de Valdeiglesias;-1.36;
2017;Municipios;1343;San Sebastián de los Reyes;0.84;
2017;Municipios;1356;Santa María de la Alameda;0.92;
2017;Municipios;1369;Santorcaz;0.86;
2017;Municipios;1375;Santos de la Humosa (Los);-1.29;
2017;Municipios;1381;Serna del Monte (La);1.87;
2017;Municipios;1408;Serranillos del Valle;0.26;
2017;Municipios;1415;Sevilla la Nueva;-1.06;
2017;Municipios;1436;Somosierra;-6.49;
2017;Municipios;1441;Soto del Real;-1.00;
2017;Municipios;1454;Talamanca de Jarama;-2.43;
2017;Municipios;1467;Tielmes;-1.38;
2017;Municipios;1473;Titulcia;-1.61;
2017;Municipios;1489;Torrejón de Ardoz;-1.28;
2017;Municipios;1492;Torrejón de la Calzada;0.60;
2017;Municipios;1505;Torrejón de Velasco;-1.04;
2017;Municipios;1512;Torrelaguna;0.15;
2017;Municipios;1527;Torrelodones;0.10;
2017;Municipios;1533;Torremocha de Jarama;-1.83;
2017;Municipios;1548;Torres de la Alameda;0.88;
2017;Municipios;9036;Tres Cantos;0.61;
2017;Municipios;1551;Valdaracete;-2.52;
2017;Municipios;1564;Valdeavero;-1.71;
2017;Municipios;1570;Valdelaguna;0.96;
2017;Municipios;1586;Valdemanco;-1.13;
2017;Municipios;1599;Valdemaqueda;-2.29;
2017;Municipios;1603;Valdemorillo;0.63;
2017;Municipios;1610;Valdemoro;0.78;
2017;Municipios;1625;Valdeolmos-Alalpardo;0.47;
2017;Municipios;1631;Valdepiélagos;-1.35;
2017;Municipios;1646;Valdetorres de Jarama;-1.44;
2017;Municipios;1659;Valdilecha;-1.18;
2017;Municipios;1662;Valverde de Alcalá;0.88;
2017;Municipios;1678;Velilla de San Antonio;0.46;
2017;Municipios;1684;Vellón (El);-1.51;
2017;Municipios;1697;Venturada;0.84;
2017;Municipios;1718;Villa del Prado;0.64;
2017;Municipios;1701;Villaconejos;0.93;
2017;Municipios;1723;Villalbilla;0.77;
2017;Municipios;1739;Villamanrique de Tajo;-4.70;
2017;Municipios;1744;Villamanta;0.66;
2017;Municipios;1757;Villamantilla;-2.60;
2017;Municipios;1760;Villanueva de la Cañada;0.61;
2017;Municipios;1782;Villanueva de Perales;-1.63;
2017;Municipios;1776;Villanueva del Pardillo;0.52;
2017;Municipios;1795;Villar del Olmo;0.40;
2017;Municipios;1809;Villarejo de Salvanés;-1.46;
2017;Municipios;1816;Villaviciosa de Odón;0.41;
2017;Municipios;1821;Villavieja del Lozoya;-2.91;
2017;Municipios;1837;Zarzalejo;-0.17;
2017;Zonas Estadísticas;03;Este Metropolitano;-0.96;
2017;Zonas Estadísticas;01;Municipio de Madrid;-0.65;
2017;Zonas Estadísticas;07;Nordeste Comunidad;-1.13;
2017;Zonas Estadísticas;02;Norte Metropolitano;-0.75;
2017;Zonas Estadísticas;05;Oeste Metropolitano;-0.47;
2017;Zonas Estadísticas;11;Sierra Central;-0.69;
2017;Zonas Estadísticas;06;Sierra Norte;-1.08;
2017;Zonas Estadísticas;10;Sierra Sur;-1.44;
2017;Zonas Estadísticas;08;Sudeste Comunidad;-1.29;
2017;Zonas Estadísticas;09;Sudoeste Comunidad;-0.97;
2017;Zonas Estadísticas;04;Sur Metropolitano;-1.08;
2018;Comunidad de Madrid;;Comunidad de Madrid;-0.52;
2018;Municipios;0014;Acebeda (La);-1.38;
2018;Municipios;0029;Ajalvir;-0.53;
2018;Municipios;0035;Alameda del Valle;-0.92;
2018;Municipios;0040;Álamo (El);-0.78;
2018;Municipios;0053;Alcalá de Henares;-0.69;
2018;Municipios;0066;Alcobendas;-0.47;
2018;Municipios;0072;Alcorcón;-0.59;
2018;Municipios;0088;Aldea del Fresno;-0.83;
2018;Municipios;0091;Algete;-0.55;
2018;Municipios;0105;Alpedrete;-0.24;
2018;Municipios;0112;Ambite;1.99;
2018;Municipios;0127;Anchuelo;-0.32;
2018;Municipios;0133;Aranjuez;-0.42;
2018;Municipios;0148;Arganda del Rey;-0.62;
2018;Municipios;0151;Arroyomolinos;-0.54;
2018;Municipios;0164;Atazar (El);0.31;
2018;Municipios;0170;Batres;-0.48;
2018;Municipios;0186;Becerril de la Sierra;-1.23;
2018;Municipios;0199;Belmonte de Tajo;0.13;
2018;Municipios;0210;Berrueco (El);-1.47;
2018;Municipios;0203;Berzosa del Lozoya;1.66;
2018;Municipios;0225;Boadilla del Monte;-0.28;
2018;Municipios;0231;Boalo (El);-1.06;
2018;Municipios;0246;Braojos;1.54;
2018;Municipios;0259;Brea de Tajo;-0.64;
2018;Municipios;0262;Brunete;-0.45;
2018;Municipios;0278;Buitrago del Lozoya;-0.71;
2018;Municipios;0284;Bustarviejo;0.61;
2018;Municipios;0297;Cabanillas de la Sierra;0.00;
2018;Municipios;0301;Cabrera (La);-1.34;
2018;Municipios;0318;Cadalso de los Vidrios;0.02;
2018;Municipios;0323;Camarma de Esteruelas;-0.94;
2018;Municipios;0339;Campo Real;-0.99;
2018;Municipios;0344;Canencia;0.91;
2018;Municipios;0357;Carabaña;0.27;
2018;Municipios;0360;Casarrubuelos;-0.51;
2018;Municipios;0376;Cenicientos;-0.38;
2018;Municipios;0382;Cercedilla;-0.57;
2018;Municipios;0395;Cervera de Buitrago;4.27;
2018;Municipios;0513;Chapinería;0.44;
2018;Municipios;0528;Chinchón;-0.63;
2018;Municipios;0409;Ciempozuelos;-0.76;
2018;Municipios;0416;Cobeña;-0.51;
2018;Municipios;0468;Collado Mediano;-0.14;
2018;Municipios;0474;Collado Villalba;-0.68;
2018;Municipios;0437;Colmenar de Oreja;-0.53;
2018;Municipios;0421;Colmenar del Arroyo;0.26;
2018;Municipios;0455;Colmenar Viejo;-0.53;
2018;Municipios;0442;Colmenarejo;-0.59;
2018;Municipios;0480;Corpa;-1.17;
2018;Municipios;0493;Coslada;-0.49;
2018;Municipios;0506;Cubas de la Sagra;-0.82;
2018;Municipios;0534;Daganzo de Arriba;-0.41;
2018;Municipios;0549;Escorial (El);-0.12;
2018;Municipios;0552;Estremera;-0.34;
2018;Municipios;0565;Fresnedillas de la Oliva;0.11;
2018;Municipios;0571;Fresno de Torote;-0.17;
2018;Municipios;0587;Fuenlabrada;-0.81;
2018;Municipios;0590;Fuente el Saz de Jarama;-0.31;
2018;Municipios;0604;Fuentidueña de Tajo;-1.34;
2018;Municipios;0611;Galapagar;-0.40;
2018;Municipios;0626;Garganta de los Montes;-1.84;
2018;Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;-0.68;
2018;Municipios;0647;Gascones;-0.97;
2018;Municipios;0650;Getafe;-0.62;
2018;Municipios;0663;Griñón;-0.35;
2018;Municipios;0679;Guadalix de la Sierra;-0.40;
2018;Municipios;0685;Guadarrama;-0.34;
2018;Municipios;0698;Hiruela (La);4.33;
2018;Municipios;0702;Horcajo de la Sierra-Aoslos;-0.20;
2018;Municipios;0719;Horcajuelo de la Sierra;-1.15;
2018;Municipios;0724;Hoyo de Manzanares;0.03;
2018;Municipios;0730;Humanes de Madrid;-0.60;
2018;Municipios;0745;Leganés;-0.75;
2018;Municipios;0758;Loeches;-0.62;
2018;Municipios;0761;Lozoya;-0.54;
2018;Municipios;9015;Lozoyuela-Navas-Sieteiglesias;-1.27;
2018;Municipios;0783;Madarcos;6.34;
2018;Municipios;0796;Madrid;-0.45;
2018;Municipios;0800;Majadahonda;-0.25;
2018;Municipios;0822;Manzanares el Real;-0.88;
2018;Municipios;0838;Meco;-0.56;
2018;Municipios;0843;Mejorada del Campo;-0.74;
2018;Municipios;0856;Miraflores de la Sierra;-0.78;
2018;Municipios;0869;Molar (El);-0.74;
2018;Municipios;0875;Molinos (Los);-0.18;
2018;Municipios;0881;Montejo de la Sierra;-1.18;
2018;Municipios;0894;Moraleja de Enmedio;-0.90;
2018;Municipios;0908;Moralzarzal;-0.25;
2018;Municipios;0915;Morata de Tajuña;-0.72;
2018;Municipios;0920;Móstoles;-0.72;
2018;Municipios;0936;Navacerrada;-1.13;
2018;Municipios;0941;Navalafuente;0.00;
2018;Municipios;0954;Navalagamella;-0.98;
2018;Municipios;0967;Navalcarnero;-0.88;
2018;Municipios;0973;Navarredonda y San Mamés;-4.47;
2018;Municipios;0992;Navas del Rey;-1.35;
2018;Municipios;1006;Nuevo Baztán;-0.66;
2018;Municipios;1013;Olmeda de las Fuentes;1.61;
2018;Municipios;1028;Orusco de Tajuña;-0.22;
2018;Municipios;1049;Paracuellos de Jarama;-0.15;
2018;Municipios;1065;Parla;-0.90;
2018;Municipios;1071;Patones;-0.13;
2018;Municipios;1087;Pedrezuela;-1.24;
2018;Municipios;1090;Pelayos de la Presa;-0.68;
2018;Municipios;1104;Perales de Tajuña;0.87;
2018;Municipios;1111;Pezuela de las Torres;-0.77;
2018;Municipios;1126;Pinilla del Valle;-1.12;
2018;Municipios;1132;Pinto;-0.49;
2018;Municipios;1147;Piñuécar-Gandullas;2.65;
2018;Municipios;1150;Pozuelo de Alarcón;-0.30;
2018;Municipios;1163;Pozuelo del Rey;0.06;
2018;Municipios;1179;Prádena del Rincón;0.49;
2018;Municipios;1185;Puebla de la Sierra;-4.89;
2018;Municipios;9020;Puentes Viejas;-0.12;
2018;Municipios;1198;Quijorna;-0.59;
2018;Municipios;1202;Rascafría;-0.21;
2018;Municipios;1219;Redueña;-1.19;
2018;Municipios;1224;Ribatejada;1.51;
2018;Municipios;1230;Rivas-Vaciamadrid;-0.45;
2018;Municipios;1245;Robledillo de la Jara;0.00;
2018;Municipios;1258;Robledo de Chavela;-0.43;
2018;Municipios;1261;Robregordo;2.08;
2018;Municipios;1277;Rozas de Madrid (Las);-0.33;
2018;Municipios;1283;Rozas de Puerto Real;0.46;
2018;Municipios;1296;San Agustín del Guadalix;-0.65;
2018;Municipios;1300;San Fernando de Henares;-0.32;
2018;Municipios;1317;San Lorenzo de El Escorial;-0.35;
2018;Municipios;1322;San Martín de la Vega;-1.32;
2018;Municipios;1338;San Martín de Valdeiglesias;-0.89;
2018;Municipios;1343;San Sebastián de los Reyes;-0.61;
2018;Municipios;1356;Santa María de la Alameda;-0.06;
2018;Municipios;1369;Santorcaz;-1.95;
2018;Municipios;1375;Santos de la Humosa (Los);0.09;
2018;Municipios;1381;Serna del Monte (La);1.20;
2018;Municipios;1408;Serranillos del Valle;-1.53;
2018;Municipios;1415;Sevilla la Nueva;-0.18;
2018;Municipios;1436;Somosierra;1.20;
2018;Municipios;1441;Soto del Real;-0.37;
2018;Municipios;1454;Talamanca de Jarama;-0.02;
2018;Municipios;1467;Tielmes;-0.32;
2018;Municipios;1473;Titulcia;-0.42;
2018;Municipios;1489;Torrejón de Ardoz;-0.78;
2018;Municipios;1492;Torrejón de la Calzada;-1.03;
2018;Municipios;1505;Torrejón de Velasco;-0.87;
2018;Municipios;1512;Torrelaguna;-1.27;
2018;Municipios;1527;Torrelodones;-0.27;
2018;Municipios;1533;Torremocha de Jarama;0.87;
2018;Municipios;1548;Torres de la Alameda;-0.56;
2018;Municipios;9036;Tres Cantos;-0.26;
2018;Municipios;1551;Valdaracete;0.72;
2018;Municipios;1564;Valdeavero;0.25;
2018;Municipios;1570;Valdelaguna;-0.87;
2018;Municipios;1586;Valdemanco;-0.72;
2018;Municipios;1599;Valdemaqueda;-0.95;
2018;Municipios;1603;Valdemorillo;-0.24;
2018;Municipios;1610;Valdemoro;-0.72;
2018;Municipios;1625;Valdeolmos-Alalpardo;-0.57;
2018;Municipios;1631;Valdepiélagos;-0.74;
2018;Municipios;1646;Valdetorres de Jarama;-0.53;
2018;Municipios;1659;Valdilecha;-0.94;
2018;Municipios;1662;Valverde de Alcalá;-2.17;
2018;Municipios;1678;Velilla de San Antonio;-0.45;
2018;Municipios;1684;Vellón (El);-1.56;
2018;Municipios;1697;Venturada;-1.36;
2018;Municipios;1718;Villa del Prado;-1.06;
2018;Municipios;1701;Villaconejos;-0.78;
2018;Municipios;1723;Villalbilla;-0.44;
2018;Municipios;1739;Villamanrique de Tajo;1.95;
2018;Municipios;1744;Villamanta;-1.35;
2018;Municipios;1757;Villamantilla;0.08;
2018;Municipios;1760;Villanueva de la Cañada;-0.25;
2018;Municipios;1782;Villanueva de Perales;0.79;
2018;Municipios;1776;Villanueva del Pardillo;-0.35;
2018;Municipios;1795;Villar del Olmo;-0.36;
2018;Municipios;1809;Villarejo de Salvanés;0.10;
2018;Municipios;1816;Villaviciosa de Odón;-0.50;
2018;Municipios;1821;Villavieja del Lozoya;0.54;
2018;Municipios;1837;Zarzalejo;-0.69;
2018;Zonas Estadísticas;03;Este Metropolitano;-0.60;
2018;Zonas Estadísticas;01;Municipio de Madrid;-0.45;
2018;Zonas Estadísticas;07;Nordeste Comunidad;-0.49;
2018;Zonas Estadísticas;02;Norte Metropolitano;-0.50;
2018;Zonas Estadísticas;05;Oeste Metropolitano;-0.36;
2018;Zonas Estadísticas;11;Sierra Central;-0.43;
2018;Zonas Estadísticas;06;Sierra Norte;-0.67;
2018;Zonas Estadísticas;10;Sierra Sur;-0.53;
2018;Zonas Estadísticas;08;Sudeste Comunidad;-0.46;
2018;Zonas Estadísticas;09;Sudoeste Comunidad;-0.71;
2018;Zonas Estadísticas;04;Sur Metropolitano;-0.71;
2019;Comunidad de Madrid;;Comunidad de Madrid;-0.47;
2019;Municipios;0014;Acebeda (La);-2.09;
2019;Municipios;0029;Ajalvir;0.07;
2019;Municipios;0035;Alameda del Valle;0.90;
2019;Municipios;0040;Álamo (El);-1.18;
2019;Municipios;0053;Alcalá de Henares;-0.42;
2019;Municipios;0066;Alcobendas;-0.46;
2019;Municipios;0072;Alcorcón;-0.49;
2019;Municipios;0088;Aldea del Fresno;-1.91;
2019;Municipios;0091;Algete;-0.47;
2019;Municipios;0105;Alpedrete;-0.19;
2019;Municipios;0112;Ambite;-2.68;
2019;Municipios;0127;Anchuelo;0.40;
2019;Municipios;0133;Aranjuez;-0.35;
2019;Municipios;0148;Arganda del Rey;-0.35;
2019;Municipios;0151;Arroyomolinos;-0.58;
2019;Municipios;0164;Atazar (El);-1.91;
2019;Municipios;0170;Batres;-0.94;
2019;Municipios;0186;Becerril de la Sierra;-0.19;
2019;Municipios;0199;Belmonte de Tajo;0.04;
2019;Municipios;0210;Berrueco (El);-1.19;
