year,date,territory,unemp_rate,unemp_rate_yoy,unemp_rate_pp
2023,2023-01-01,municipios,78,-189.6551724137931,165.0
2023,2023-01-01,municipios,-34,-143.5897435897436,-112.0
2023,2023-01-01,municipios,138,-505.88235294117646,172.0
2023,2023-01-01,municipios,-33,-123.91304347826086,-171.0
2023,2023-01-01,municipios,-54,63.63636363636365,-21.0
2023,2023-01-01,municipios,-75,38.888888888888886,-21.0
2023,2023-01-01,municipios,-49,-34.66666666666667,26.0
2023,2023-01-01,municipios,-45,-8.163265306122447,4.0
2023,2023-01-01,municipios,-38,-15.555555555555555,7.0
2023,2023-01-01,municipios,45,-218.42105263157893,83.0
2023,2023-01-01,municipios,31,-31.11111111111111,-14.0
2023,2023-01-01,municipios,-76,-345.16129032258067,-107.0
2023,2023-01-01,municipios,12,-115.78947368421053,88.0
2023,2023-01-01,municipios,-54,-550.0,-66.0
2023,2023-01-01,municipios,-55,1.85185185185186,-1.0
2023,2023-01-01,municipios,-331,501.81818181818187,-276.0
2023,2023-01-01,municipios,-33,-90.03021148036254,298.0
2023,2023-01-01,municipios,-22,-33.333333333333336,11.0
2023,2023-01-01,municipios,-33,50.0,-11.0
2023,2023-01-01,municipios,-89,169.6969696969697,-56.0
2023,2023-01-01,municipios,-75,-15.73033707865169,14.0
2023,2023-01-01,municipios,-34,-54.666666666666664,41.0
2023,2023-01-01,municipios,-57,67.64705882352942,-23.0
2023,2023-01-01,municipios,-15,-73.6842105263158,42.0
2023,2023-01-01,municipios,-41,173.33333333333334,-26.0
2023,2023-01-01,municipios,-17,-58.53658536585367,24.0
2023,2023-01-01,municipios,-48,182.3529411764706,-31.0
2023,2023-01-01,municipios,-49,2.083333333333326,-1.0
2023,2023-01-01,municipios,-104,112.24489795918369,-55.0
2023,2023-01-01,municipios,-142,36.53846153846154,-38.0
2023,2023-01-01,municipios,-115,-19.01408450704225,27.0
2023,2023-01-01,municipios,-71,-38.26086956521739,44.0
2023,2023-01-01,municipios,-157,121.1267605633803,-86.0
2023,2023-01-01,municipios,-11,-92.99363057324841,146.0
2023,2023-01-01,municipios,-58,427.27272727272725,-47.0
2023,2023-01-01,municipios,-92,58.62068965517242,-34.0
2023,2023-01-01,municipios,-1,-98.91304347826086,91.0
2023,2023-01-01,municipios,-4,300.0,-3.0
2023,2023-01-01,municipios,-15,275.0,-11.0
2023,2023-01-01,municipios,-21,39.99999999999999,-6.0
2023,2023-01-01,municipios,-33,57.14285714285714,-12.0
2023,2023-01-01,municipios,-79,139.3939393939394,-46.0
2023,2023-01-01,municipios,19,-124.0506329113924,98.0
2023,2023-01-01,municipios,-28,-247.3684210526316,-47.0
2023,2023-01-01,municipios,-138,392.8571428571429,-110.0
2023,2023-01-01,municipios,-27,-80.43478260869566,111.0
2023,2023-01-01,municipios,133,-592.5925925925926,160.0
2023,2023-01-01,municipios,56,-57.89473684210527,-77.0
2023,2023-01-01,municipios,-92,-264.2857142857143,-148.0
2023,2023-01-01,municipios,-31,-66.30434782608697,61.0
