year,date,territory_type,territory,sex,nationality,age_group,age_min,age_max,population
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,hombres,,De 75-79 años,,,99417
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,hombres,,De 80-84 años,,,65668
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,hombres,,De 85-89 años,,,43393
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,hombres,,De 90-94 años,,,16675
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,hombres,,De 95-99 años,,,3463
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,hombres,,Total,,,3221401
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,mujeres,espanola,De 0-4 años,,,119607
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,mujeres,espanola,De 10-14 años,,,157435
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,mujeres,espanola,De 100 y más años,,,1563
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,mujeres,espanola,De 15-19 años,,,149580
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,mujeres,espanola,De 20-24 años,,,134922
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,mujeres,espanola,De 25-29 años,,,142452
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,mujeres,espanola,De 30-34 años,,,155271
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,mujeres,espanola,De 35-39 años,,,188728
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,mujeres,espanola,De 40-44 años,,,239604
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,mujeres,espanola,De 45-49 años,,,253566
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,mujeres,espanola,De 5-9 años,,,143722
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,mujeres,espanola,De 50-54 años,,,235117
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,mujeres,espanola,De 55-59 años,,,220746
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,mujeres,espanola,De 60-64 años,,,195095
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,mujeres,espanola,De 65-69 años,,,166647
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,mujeres,espanola,De 70-74 años,,,156803
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,mujeres,espanola,De 75-79 años,,,129035
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,mujeres,espanola,De 80-84 años,,,99087
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,mujeres,espanola,De 85-89 años,,,79028
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,mujeres,espanola,De 90-94 años,,,40718
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,mujeres,espanola,De 95-99 años,,,11637
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,mujeres,espanola,Total,,,3020363
