territorio,tasa_paro
Este Metropolitano,31.0
Sur Metropolitano,31.0
Nordeste Comunidad,24.0
Sudeste Comunidad,22.0
Sudoeste Comunidad,13.0
Norte Metropolitano,11.0
Sierra Sur,8.0
Sierra Central,7.0
Oeste Metropolitano,6.0
Municipio de Madrid,2.0
Sierra Norte,1.0
